INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  13.93, Acc-val:  13.77, L-tr: 2.2833, L-val: 2.2899
INFO:root:001: Acc-tr:  15.18, Acc-val:  14.52, L-tr: 2.2741, L-val: 2.2859
INFO:root:002: Acc-tr:  15.98, Acc-val:  15.17, L-tr: 2.2672, L-val: 2.2808
INFO:root:003: Acc-tr:  17.49, Acc-val:  15.33, L-tr: 2.2565, L-val: 2.2798
INFO:root:004: Acc-tr:  17.21, Acc-val:  15.44, L-tr: 2.2511, L-val: 2.2820
INFO:root:005: Acc-tr:  18.66, Acc-val:  15.78, L-tr: 2.2382, L-val: 2.2808
INFO:root:006: Acc-tr:  19.17, Acc-val:  16.03, L-tr: 2.2269, L-val: 2.2824
INFO:root:007: Acc-tr:  19.90, Acc-val:  15.38, L-tr: 2.2206, L-val: 2.2845
INFO:root:008: Acc-tr:  19.22, Acc-val:  14.85, L-tr: 2.2168, L-val: 2.3082
INFO:root:009: Acc-tr:  20.32, Acc-val:  15.41, L-tr: 2.1978, L-val: 2.3109
INFO:root:010: Acc-tr:  21.80, Acc-val:  14.70, L-tr: 2.1634, L-val: 2.3327
INFO:root:011: Acc-tr:  20.09, Acc-val:  13.20, L-tr: 2.1809, L-val: 2.3678
INFO:root:012: Acc-tr:  22.50, Acc-val:  13.30, L-tr: 2.1655, L-val: 2.4042
INFO:root:013: Acc-tr:  24.39, Acc-val:  13.73, L-tr: 2.1135, L-val: 2.3705
INFO:root:014: Acc-tr:  24.04, Acc-val:  12.81, L-tr: 2.1333, L-val: 2.5100
INFO:root:015: Acc-tr:  28.59, Acc-val:  13.48, L-tr: 2.0184, L-val: 2.4556
INFO:root:016: Acc-tr:  24.87, Acc-val:  12.91, L-tr: 2.0750, L-val: 2.5114
INFO:root:017: Acc-tr:  26.44, Acc-val:  13.28, L-tr: 2.1011, L-val: 2.7455
INFO:root:018: Acc-tr:  24.22, Acc-val:  12.02, L-tr: 2.1319, L-val: 2.7275
INFO:root:019: Acc-tr:  21.20, Acc-val:  11.88, L-tr: 2.4154, L-val: 3.1493
INFO:root:020: Acc-tr:  35.41, Acc-val:  12.31, L-tr: 1.8204, L-val: 2.6813
