INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  10.73, Acc-val:   9.79, L-tr: 2.3053, L-val: 2.3089
INFO:root:001: Acc-tr:  10.57, Acc-val:  10.36, L-tr: 2.3064, L-val: 2.3095
INFO:root:002: Acc-tr:  10.91, Acc-val:  10.07, L-tr: 2.3027, L-val: 2.3083
INFO:root:003: Acc-tr:  11.29, Acc-val:  10.04, L-tr: 2.3002, L-val: 2.3072
INFO:root:004: Acc-tr:  11.33, Acc-val:   9.34, L-tr: 2.2988, L-val: 2.3100
INFO:root:005: Acc-tr:  12.39, Acc-val:   9.78, L-tr: 2.2986, L-val: 2.3124
INFO:root:006: Acc-tr:  12.43, Acc-val:  10.18, L-tr: 2.2932, L-val: 2.3104
INFO:root:007: Acc-tr:  13.49, Acc-val:   9.81, L-tr: 2.2861, L-val: 2.3110
INFO:root:008: Acc-tr:  14.32, Acc-val:   9.78, L-tr: 2.2802, L-val: 2.3120
INFO:root:009: Acc-tr:  16.16, Acc-val:   9.80, L-tr: 2.2697, L-val: 2.3139
INFO:root:010: Acc-tr:  16.56, Acc-val:   9.77, L-tr: 2.2548, L-val: 2.3191
INFO:root:011: Acc-tr:  18.05, Acc-val:   9.79, L-tr: 2.2452, L-val: 2.3262
INFO:root:012: Acc-tr:  17.16, Acc-val:  10.01, L-tr: 2.2387, L-val: 2.3406
INFO:root:013: Acc-tr:  19.55, Acc-val:  10.11, L-tr: 2.2131, L-val: 2.3488
INFO:root:014: Acc-tr:  20.07, Acc-val:   9.86, L-tr: 2.1953, L-val: 2.3741
INFO:root:015: Acc-tr:  20.26, Acc-val:   9.90, L-tr: 2.1826, L-val: 2.3909
INFO:root:016: Acc-tr:  22.98, Acc-val:   9.92, L-tr: 2.1425, L-val: 2.3961
INFO:root:017: Acc-tr:  21.69, Acc-val:   9.96, L-tr: 2.1495, L-val: 2.4253
INFO:root:018: Acc-tr:  23.48, Acc-val:   9.81, L-tr: 2.1329, L-val: 2.4910
INFO:root:019: Acc-tr:  22.96, Acc-val:   9.99, L-tr: 2.1785, L-val: 2.6053
INFO:root:020: Acc-tr:  22.70, Acc-val:   9.89, L-tr: 2.1996, L-val: 2.7541
INFO:root:021: Acc-tr:  26.82, Acc-val:  10.04, L-tr: 2.0724, L-val: 2.7534
INFO:root:022: Acc-tr:  22.13, Acc-val:   9.94, L-tr: 2.1890, L-val: 2.9447
INFO:root:023: Acc-tr:  37.83, Acc-val:  10.32, L-tr: 1.8118, L-val: 2.5771
INFO:root:024: Acc-tr:  31.39, Acc-val:   9.61, L-tr: 1.9275, L-val: 2.8629
INFO:root:025: Acc-tr:  31.78, Acc-val:   9.94, L-tr: 1.9567, L-val: 2.9892
INFO:root:026: Acc-tr:  28.37, Acc-val:   9.91, L-tr: 2.1203, L-val: 3.3330
INFO:root:027: Acc-tr:  29.12, Acc-val:  10.31, L-tr: 2.1368, L-val: 3.3577
INFO:root:028: Acc-tr:  35.54, Acc-val:  10.15, L-tr: 1.8921, L-val: 3.2671
