INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  29.14, Acc-val:  28.77, L-tr: 1.9086, L-val: 1.9122
INFO:root:001: Acc-tr:  28.21, Acc-val:  28.12, L-tr: 1.9359, L-val: 1.9508
INFO:root:002: Acc-tr:  30.97, Acc-val:  30.20, L-tr: 1.8702, L-val: 1.9030
INFO:root:003: Acc-tr:  30.98, Acc-val:  29.40, L-tr: 1.8711, L-val: 1.9138
INFO:root:004: Acc-tr:  32.25, Acc-val:  30.23, L-tr: 1.8261, L-val: 1.8863
INFO:root:005: Acc-tr:  32.74, Acc-val:  30.16, L-tr: 1.8220, L-val: 1.8935
INFO:root:006: Acc-tr:  33.01, Acc-val:  30.48, L-tr: 1.8137, L-val: 1.9006
INFO:root:007: Acc-tr:  34.34, Acc-val:  30.34, L-tr: 1.7909, L-val: 1.9007
INFO:root:008: Acc-tr:  34.24, Acc-val:  30.16, L-tr: 1.7805, L-val: 1.9008
INFO:root:009: Acc-tr:  35.15, Acc-val:  29.96, L-tr: 1.7627, L-val: 1.8962
INFO:root:010: Acc-tr:  35.52, Acc-val:  30.13, L-tr: 1.7647, L-val: 1.9270
INFO:root:011: Acc-tr:  36.81, Acc-val:  30.01, L-tr: 1.7327, L-val: 1.9078
INFO:root:012: Acc-tr:  36.35, Acc-val:  30.24, L-tr: 1.7275, L-val: 1.9182
INFO:root:013: Acc-tr:  37.79, Acc-val:  29.32, L-tr: 1.7025, L-val: 1.9217
INFO:root:014: Acc-tr:  35.40, Acc-val:  28.29, L-tr: 1.7463, L-val: 1.9877
INFO:root:015: Acc-tr:  39.22, Acc-val:  30.05, L-tr: 1.6622, L-val: 1.9338
INFO:root:016: Acc-tr:  38.67, Acc-val:  29.94, L-tr: 1.6708, L-val: 1.9460
INFO:root:017: Acc-tr:  39.35, Acc-val:  28.84, L-tr: 1.6629, L-val: 1.9630
INFO:root:018: Acc-tr:  39.42, Acc-val:  29.19, L-tr: 1.6515, L-val: 1.9565
INFO:root:019: Acc-tr:  41.82, Acc-val:  29.40, L-tr: 1.6042, L-val: 1.9643
INFO:root:020: Acc-tr:  38.48, Acc-val:  26.88, L-tr: 1.7177, L-val: 2.1073
INFO:root:021: Acc-tr:  40.52, Acc-val:  28.15, L-tr: 1.6316, L-val: 2.0592
INFO:root:022: Acc-tr:  41.01, Acc-val:  27.45, L-tr: 1.6063, L-val: 2.0325
INFO:root:023: Acc-tr:  42.53, Acc-val:  27.68, L-tr: 1.5813, L-val: 2.0781
INFO:root:024: Acc-tr:  42.96, Acc-val:  28.39, L-tr: 1.5540, L-val: 2.1095
INFO:root:025: Acc-tr:  43.97, Acc-val:  28.54, L-tr: 1.5463, L-val: 2.0663
INFO:root:026: Acc-tr:  43.82, Acc-val:  28.48, L-tr: 1.5324, L-val: 2.0823
INFO:root:027: Acc-tr:  43.78, Acc-val:  28.28, L-tr: 1.5301, L-val: 2.0618
INFO:root:028: Acc-tr:  45.23, Acc-val:  27.46, L-tr: 1.5047, L-val: 2.1270
INFO:root:029: Acc-tr:  45.66, Acc-val:  27.74, L-tr: 1.4967, L-val: 2.1457
INFO:root:030: Acc-tr:  46.33, Acc-val:  27.90, L-tr: 1.4849, L-val: 2.2504
INFO:root:031: Acc-tr:  47.72, Acc-val:  28.04, L-tr: 1.4420, L-val: 2.2170
INFO:root:032: Acc-tr:  48.74, Acc-val:  26.95, L-tr: 1.4153, L-val: 2.2457
