INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  39.75, Acc-val:  30.82, L-tr: 1.6150, L-val: 1.9649
INFO:root:001: Acc-tr:  47.37, Acc-val:  38.02, L-tr: 1.4451, L-val: 1.7106
INFO:root:002: Acc-tr:  51.00, Acc-val:  44.85, L-tr: 1.3490, L-val: 1.5665
INFO:root:003: Acc-tr:  53.23, Acc-val:  42.11, L-tr: 1.2915, L-val: 1.6932
INFO:root:004: Acc-tr:  57.73, Acc-val:  43.15, L-tr: 1.1698, L-val: 1.6587
INFO:root:005: Acc-tr:  61.26, Acc-val:  46.31, L-tr: 1.0759, L-val: 1.5938
INFO:root:006: Acc-tr:  62.57, Acc-val:  46.86, L-tr: 1.0280, L-val: 1.6365
INFO:root:007: Acc-tr:  63.80, Acc-val:  49.23, L-tr: 1.0184, L-val: 1.5850
INFO:root:008: Acc-tr:  70.57, Acc-val:  47.60, L-tr: 0.8362, L-val: 1.6919
INFO:root:009: Acc-tr:  70.08, Acc-val:  50.59, L-tr: 0.8384, L-val: 1.5727
INFO:root:010: Acc-tr:  72.53, Acc-val:  46.04, L-tr: 0.7695, L-val: 1.7424
INFO:root:011: Acc-tr:  76.20, Acc-val:  49.66, L-tr: 0.6810, L-val: 1.7259
INFO:root:012: Acc-tr:  67.81, Acc-val:  40.96, L-tr: 0.8859, L-val: 2.4029
INFO:root:013: Acc-tr:  70.81, Acc-val:  45.91, L-tr: 0.8246, L-val: 2.1182
INFO:root:014: Acc-tr:  80.98, Acc-val:  45.95, L-tr: 0.5377, L-val: 2.1635
INFO:root:015: Acc-tr:  80.87, Acc-val:  47.51, L-tr: 0.5434, L-val: 2.1625
INFO:root:016: Acc-tr:  80.83, Acc-val:  51.45, L-tr: 0.5387, L-val: 1.8486
INFO:root:017: Acc-tr:  82.47, Acc-val:  50.76, L-tr: 0.4938, L-val: 1.9875
INFO:root:018: Acc-tr:  75.19, Acc-val:  38.76, L-tr: 0.6943, L-val: 3.0527
INFO:root:019: Acc-tr:  78.68, Acc-val:  43.33, L-tr: 0.6007, L-val: 2.9726
INFO:root:020: Acc-tr:  87.94, Acc-val:  47.83, L-tr: 0.3441, L-val: 2.4701
INFO:root:021: Acc-tr:  75.44, Acc-val:  41.00, L-tr: 0.7590, L-val: 3.4706
INFO:root:022: Acc-tr:  86.57, Acc-val:  46.70, L-tr: 0.3728, L-val: 2.5661
INFO:root:023: Acc-tr:  88.33, Acc-val:  48.84, L-tr: 0.3279, L-val: 2.5730
INFO:root:024: Acc-tr:  86.78, Acc-val:  45.91, L-tr: 0.3590, L-val: 2.9402
INFO:root:025: Acc-tr:  85.40, Acc-val:  50.99, L-tr: 0.4225, L-val: 2.6206
INFO:root:026: Acc-tr:  86.30, Acc-val:  44.48, L-tr: 0.3788, L-val: 3.1740
INFO:root:027: Acc-tr:  85.78, Acc-val:  49.03, L-tr: 0.4133, L-val: 2.8756
INFO:root:028: Acc-tr:  87.67, Acc-val:  50.96, L-tr: 0.3398, L-val: 2.6679
INFO:root:029: Acc-tr:  91.50, Acc-val:  48.67, L-tr: 0.2394, L-val: 3.0621
INFO:root:030: Acc-tr:  82.51, Acc-val:  50.68, L-tr: 0.5370, L-val: 2.9704
INFO:root:031: Acc-tr:  96.32, Acc-val:  51.19, L-tr: 0.1098, L-val: 2.8967
INFO:root:032: Acc-tr:  93.84, Acc-val:  52.00, L-tr: 0.1718, L-val: 2.9291
INFO:root:033: Acc-tr:  94.59, Acc-val:  52.00, L-tr: 0.1498, L-val: 2.8982
INFO:root:034: Acc-tr:  96.05, Acc-val:  53.48, L-tr: 0.1140, L-val: 2.7099
INFO:root:035: Acc-tr:  95.86, Acc-val:  49.20, L-tr: 0.1187, L-val: 3.3720
INFO:root:036: Acc-tr:  93.09, Acc-val:  48.72, L-tr: 0.1938, L-val: 3.2472
INFO:root:037: Acc-tr:  96.15, Acc-val:  54.74, L-tr: 0.1105, L-val: 2.5674
INFO:root:038: Acc-tr:  93.91, Acc-val:  43.38, L-tr: 0.1802, L-val: 4.6205
INFO:root:039: Acc-tr:  95.60, Acc-val:  47.85, L-tr: 0.1242, L-val: 3.8211
INFO:root:040: Acc-tr:  98.05, Acc-val:  47.47, L-tr: 0.0590, L-val: 3.8343
INFO:root:041: Acc-tr:  99.31, Acc-val:  50.17, L-tr: 0.0255, L-val: 3.3916
INFO:root:042: Acc-tr:  99.78, Acc-val:  51.55, L-tr: 0.0117, L-val: 3.3149
INFO:root:043: Acc-tr:  99.68, Acc-val:  50.20, L-tr: 0.0138, L-val: 3.5675
INFO:root:044: Acc-tr:  99.80, Acc-val:  52.85, L-tr: 0.0110, L-val: 3.2078
INFO:root:045: Acc-tr:  99.82, Acc-val:  53.13, L-tr: 0.0098, L-val: 3.2358
INFO:root:046: Acc-tr:  99.93, Acc-val:  51.29, L-tr: 0.0059, L-val: 3.5240
INFO:root:047: Acc-tr:  99.94, Acc-val:  53.28, L-tr: 0.0049, L-val: 3.2690
INFO:root:048: Acc-tr:  99.94, Acc-val:  52.24, L-tr: 0.0045, L-val: 3.3808
INFO:root:049: Acc-tr: 100.00, Acc-val:  52.35, L-tr: 0.0022, L-val: 3.4341
INFO:root:050: Acc-tr:  99.99, Acc-val:  53.38, L-tr: 0.0017, L-val: 3.3133
INFO:root:051: Acc-tr: 100.00, Acc-val:  51.60, L-tr: 0.0008, L-val: 3.5975
INFO:root:052: Acc-tr: 100.00, Acc-val:  51.42, L-tr: 0.0008, L-val: 3.6265
INFO:root:053: Acc-tr: 100.00, Acc-val:  51.27, L-tr: 0.0006, L-val: 3.6662
INFO:root:054: Acc-tr: 100.00, Acc-val:  51.67, L-tr: 0.0005, L-val: 3.5337
INFO:root:055: Acc-tr: 100.00, Acc-val:  52.51, L-tr: 0.0003, L-val: 3.4320
INFO:root:056: Acc-tr: 100.00, Acc-val:  52.01, L-tr: 0.0003, L-val: 3.5308
INFO:root:057: Acc-tr: 100.00, Acc-val:  52.51, L-tr: 0.0003, L-val: 3.3996
INFO:root:058: Acc-tr: 100.00, Acc-val:  52.81, L-tr: 0.0003, L-val: 3.4429
INFO:root:059: Acc-tr: 100.00, Acc-val:  51.73, L-tr: 0.0003, L-val: 3.5665
INFO:root:060: Acc-tr: 100.00, Acc-val:  52.17, L-tr: 0.0003, L-val: 3.4814
INFO:root:061: Acc-tr: 100.00, Acc-val:  52.26, L-tr: 0.0002, L-val: 3.4666
INFO:root:062: Acc-tr: 100.00, Acc-val:  52.41, L-tr: 0.0002, L-val: 3.5104
INFO:root:063: Acc-tr: 100.00, Acc-val:  52.47, L-tr: 0.0002, L-val: 3.4559
