INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  37.82, Acc-val:  32.92, L-tr: 1.6909, L-val: 1.8276
INFO:root:001: Acc-tr:  42.87, Acc-val:  31.60, L-tr: 1.5694, L-val: 2.1350
INFO:root:002: Acc-tr:  46.72, Acc-val:  36.27, L-tr: 1.4598, L-val: 1.9576
INFO:root:003: Acc-tr:  50.73, Acc-val:  41.40, L-tr: 1.3555, L-val: 1.6774
INFO:root:004: Acc-tr:  56.11, Acc-val:  38.32, L-tr: 1.2227, L-val: 1.8874
INFO:root:005: Acc-tr:  50.09, Acc-val:  37.59, L-tr: 1.4284, L-val: 2.0851
INFO:root:006: Acc-tr:  58.57, Acc-val:  37.14, L-tr: 1.1401, L-val: 2.2713
INFO:root:007: Acc-tr:  61.09, Acc-val:  41.91, L-tr: 1.1006, L-val: 1.8391
INFO:root:008: Acc-tr:  62.24, Acc-val:  43.56, L-tr: 1.0487, L-val: 1.8315
INFO:root:009: Acc-tr:  59.12, Acc-val:  41.13, L-tr: 1.1390, L-val: 2.0569
INFO:root:010: Acc-tr:  63.58, Acc-val:  35.37, L-tr: 1.0160, L-val: 2.7981
INFO:root:011: Acc-tr:  64.37, Acc-val:  37.96, L-tr: 0.9918, L-val: 2.5634
INFO:root:012: Acc-tr:  72.87, Acc-val:  40.62, L-tr: 0.7746, L-val: 2.3752
INFO:root:013: Acc-tr:  71.22, Acc-val:  44.36, L-tr: 0.8012, L-val: 2.0837
INFO:root:014: Acc-tr:  73.06, Acc-val:  46.43, L-tr: 0.7522, L-val: 1.9822
INFO:root:015: Acc-tr:  76.38, Acc-val:  41.71, L-tr: 0.6700, L-val: 2.1934
INFO:root:016: Acc-tr:  70.00, Acc-val:  36.88, L-tr: 0.8295, L-val: 3.1027
INFO:root:017: Acc-tr:  77.42, Acc-val:  41.86, L-tr: 0.6359, L-val: 2.5823
INFO:root:018: Acc-tr:  69.24, Acc-val:  34.28, L-tr: 0.8854, L-val: 3.7236
INFO:root:019: Acc-tr:  77.13, Acc-val:  39.05, L-tr: 0.6612, L-val: 2.9764
INFO:root:020: Acc-tr:  79.33, Acc-val:  41.19, L-tr: 0.5917, L-val: 2.8065
