INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  39.14, Acc-val:  38.61, L-tr: 1.7844, L-val: 1.7919
INFO:root:001: Acc-tr:  43.12, Acc-val:  43.07, L-tr: 1.7053, L-val: 1.7297
INFO:root:002: Acc-tr:  48.45, Acc-val:  47.34, L-tr: 1.6037, L-val: 1.6411
INFO:root:003: Acc-tr:  51.22, Acc-val:  50.17, L-tr: 1.5414, L-val: 1.5897
INFO:root:004: Acc-tr:  56.71, Acc-val:  53.83, L-tr: 1.4367, L-val: 1.5207
INFO:root:005: Acc-tr:  57.81, Acc-val:  54.07, L-tr: 1.4077, L-val: 1.5099
INFO:root:006: Acc-tr:  59.44, Acc-val:  55.53, L-tr: 1.3708, L-val: 1.5033
INFO:root:007: Acc-tr:  62.71, Acc-val:  57.40, L-tr: 1.2806, L-val: 1.4498
INFO:root:008: Acc-tr:  61.22, Acc-val:  54.69, L-tr: 1.3161, L-val: 1.5232
INFO:root:009: Acc-tr:  61.49, Acc-val:  54.71, L-tr: 1.2889, L-val: 1.5288
INFO:root:010: Acc-tr:  67.80, Acc-val:  58.71, L-tr: 1.1345, L-val: 1.4323
INFO:root:011: Acc-tr:  67.80, Acc-val:  56.87, L-tr: 1.1179, L-val: 1.5154
INFO:root:012: Acc-tr:  69.08, Acc-val:  57.40, L-tr: 1.0753, L-val: 1.5214
INFO:root:013: Acc-tr:  64.34, Acc-val:  53.45, L-tr: 1.1767, L-val: 1.6597
INFO:root:014: Acc-tr:  67.94, Acc-val:  53.99, L-tr: 1.1034, L-val: 1.6917
INFO:root:015: Acc-tr:  68.57, Acc-val:  53.63, L-tr: 1.0505, L-val: 1.6381
INFO:root:016: Acc-tr:  63.37, Acc-val:  49.93, L-tr: 1.1712, L-val: 1.7716
INFO:root:017: Acc-tr:  69.78, Acc-val:  52.42, L-tr: 1.0210, L-val: 1.8880
INFO:root:018: Acc-tr:  73.17, Acc-val:  54.55, L-tr: 0.9026, L-val: 1.6950
INFO:root:019: Acc-tr:  71.54, Acc-val:  51.81, L-tr: 0.9390, L-val: 1.8020
INFO:root:020: Acc-tr:  78.73, Acc-val:  54.89, L-tr: 0.7180, L-val: 1.7408
INFO:root:021: Acc-tr:  74.71, Acc-val:  52.01, L-tr: 0.8282, L-val: 1.8406
INFO:root:022: Acc-tr:  76.74, Acc-val:  53.09, L-tr: 0.7699, L-val: 2.0516
INFO:root:023: Acc-tr:  73.53, Acc-val:  49.49, L-tr: 0.8379, L-val: 2.0531
INFO:root:024: Acc-tr:  77.32, Acc-val:  51.85, L-tr: 0.7225, L-val: 1.9857
INFO:root:025: Acc-tr:  78.34, Acc-val:  50.96, L-tr: 0.6894, L-val: 2.1891
INFO:root:026: Acc-tr:  76.73, Acc-val:  49.83, L-tr: 0.7649, L-val: 2.6115
INFO:root:027: Acc-tr:  76.78, Acc-val:  48.31, L-tr: 0.7323, L-val: 2.3240
INFO:root:028: Acc-tr:  79.65, Acc-val:  49.84, L-tr: 0.6353, L-val: 2.0887
INFO:root:029: Acc-tr:  79.49, Acc-val:  50.56, L-tr: 0.6349, L-val: 2.3346
INFO:root:030: Acc-tr:  82.63, Acc-val:  49.68, L-tr: 0.5418, L-val: 2.4982
INFO:root:031: Acc-tr:  77.09, Acc-val:  46.41, L-tr: 0.7099, L-val: 2.7713
INFO:root:032: Acc-tr:  85.68, Acc-val:  50.28, L-tr: 0.4465, L-val: 2.4998
INFO:root:033: Acc-tr:  84.22, Acc-val:  49.76, L-tr: 0.4755, L-val: 2.5197
INFO:root:034: Acc-tr:  86.54, Acc-val:  50.87, L-tr: 0.4158, L-val: 2.6454
INFO:root:035: Acc-tr:  82.84, Acc-val:  48.87, L-tr: 0.5590, L-val: 2.9653
INFO:root:036: Acc-tr:  88.00, Acc-val:  50.72, L-tr: 0.3671, L-val: 2.6855
