INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  34.81, Acc-val:  35.16, L-tr: 1.7791, L-val: 1.7760
INFO:root:001: Acc-tr:  45.37, Acc-val:  43.58, L-tr: 1.4979, L-val: 1.5310
INFO:root:002: Acc-tr:  48.08, Acc-val:  45.71, L-tr: 1.4091, L-val: 1.4699
INFO:root:003: Acc-tr:  48.41, Acc-val:  45.57, L-tr: 1.4730, L-val: 1.5761
INFO:root:004: Acc-tr:  54.28, Acc-val:  50.00, L-tr: 1.2483, L-val: 1.3990
INFO:root:005: Acc-tr:  55.68, Acc-val:  49.29, L-tr: 1.2368, L-val: 1.4380
INFO:root:006: Acc-tr:  61.72, Acc-val:  53.09, L-tr: 1.0674, L-val: 1.3341
INFO:root:007: Acc-tr:  64.85, Acc-val:  53.79, L-tr: 0.9938, L-val: 1.2942
INFO:root:008: Acc-tr:  62.65, Acc-val:  51.61, L-tr: 1.0276, L-val: 1.4398
INFO:root:009: Acc-tr:  63.64, Acc-val:  50.33, L-tr: 1.0274, L-val: 1.4605
INFO:root:010: Acc-tr:  66.94, Acc-val:  51.95, L-tr: 0.9178, L-val: 1.4278
INFO:root:011: Acc-tr:  72.21, Acc-val:  54.69, L-tr: 0.7967, L-val: 1.4235
INFO:root:012: Acc-tr:  74.24, Acc-val:  53.66, L-tr: 0.7166, L-val: 1.4250
INFO:root:013: Acc-tr:  72.97, Acc-val:  52.47, L-tr: 0.7463, L-val: 1.5013
INFO:root:014: Acc-tr:  71.89, Acc-val:  51.34, L-tr: 0.7780, L-val: 1.5946
INFO:root:015: Acc-tr:  76.86, Acc-val:  52.08, L-tr: 0.6482, L-val: 1.5887
INFO:root:016: Acc-tr:  77.17, Acc-val:  52.70, L-tr: 0.6230, L-val: 1.5823
INFO:root:017: Acc-tr:  80.56, Acc-val:  53.16, L-tr: 0.5464, L-val: 1.6111
INFO:root:018: Acc-tr:  70.53, Acc-val:  47.18, L-tr: 0.8522, L-val: 2.0567
INFO:root:019: Acc-tr:  83.34, Acc-val:  53.27, L-tr: 0.4763, L-val: 1.6237
INFO:root:020: Acc-tr:  75.30, Acc-val:  49.06, L-tr: 0.6938, L-val: 2.0924
INFO:root:021: Acc-tr:  81.38, Acc-val:  50.98, L-tr: 0.5227, L-val: 1.9782
INFO:root:022: Acc-tr:  85.12, Acc-val:  52.55, L-tr: 0.4255, L-val: 1.9140
INFO:root:023: Acc-tr:  88.78, Acc-val:  53.84, L-tr: 0.3146, L-val: 1.7944
INFO:root:024: Acc-tr:  83.08, Acc-val:  50.19, L-tr: 0.4778, L-val: 2.0467
INFO:root:025: Acc-tr:  82.77, Acc-val:  51.40, L-tr: 0.4950, L-val: 2.1925
INFO:root:026: Acc-tr:  90.50, Acc-val:  53.52, L-tr: 0.2692, L-val: 1.9796
INFO:root:027: Acc-tr:  83.60, Acc-val:  50.69, L-tr: 0.4814, L-val: 2.3567
INFO:root:028: Acc-tr:  81.07, Acc-val:  48.62, L-tr: 0.5395, L-val: 2.4237
INFO:root:029: Acc-tr:  87.58, Acc-val:  51.66, L-tr: 0.3526, L-val: 2.2876
INFO:root:030: Acc-tr:  92.03, Acc-val:  52.86, L-tr: 0.2151, L-val: 2.2718
INFO:root:031: Acc-tr:  90.99, Acc-val:  51.93, L-tr: 0.2484, L-val: 2.4428
INFO:root:032: Acc-tr:  92.13, Acc-val:  53.36, L-tr: 0.2260, L-val: 2.4877
INFO:root:033: Acc-tr:  91.69, Acc-val:  51.70, L-tr: 0.2297, L-val: 2.5336
INFO:root:034: Acc-tr:  89.41, Acc-val:  51.99, L-tr: 0.3025, L-val: 2.5968
