INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  40.24, Acc-val:  39.36, L-tr: 1.5800, L-val: 1.6243
INFO:root:001: Acc-tr:  52.07, Acc-val:  50.70, L-tr: 1.3336, L-val: 1.3392
INFO:root:002: Acc-tr:  55.80, Acc-val:  51.61, L-tr: 1.2128, L-val: 1.3146
INFO:root:003: Acc-tr:  58.47, Acc-val:  49.36, L-tr: 1.1452, L-val: 1.4117
INFO:root:004: Acc-tr:  66.92, Acc-val:  57.37, L-tr: 0.9269, L-val: 1.1753
INFO:root:005: Acc-tr:  61.28, Acc-val:  61.83, L-tr: 1.1285, L-val: 1.1147
INFO:root:006: Acc-tr:  70.17, Acc-val:  64.57, L-tr: 0.8341, L-val: 1.0348
INFO:root:007: Acc-tr:  70.99, Acc-val:  58.88, L-tr: 0.8263, L-val: 1.2280
INFO:root:008: Acc-tr:  72.34, Acc-val:  58.29, L-tr: 0.7930, L-val: 1.3072
INFO:root:009: Acc-tr:  77.38, Acc-val:  65.52, L-tr: 0.6501, L-val: 1.0636
INFO:root:010: Acc-tr:  80.37, Acc-val:  65.34, L-tr: 0.5540, L-val: 1.0732
INFO:root:011: Acc-tr:  80.72, Acc-val:  62.55, L-tr: 0.5484, L-val: 1.2562
INFO:root:012: Acc-tr:  80.95, Acc-val:  65.17, L-tr: 0.5255, L-val: 1.1227
INFO:root:013: Acc-tr:  86.48, Acc-val:  65.53, L-tr: 0.3941, L-val: 1.1689
INFO:root:014: Acc-tr:  82.84, Acc-val:  64.46, L-tr: 0.4652, L-val: 1.2764
INFO:root:015: Acc-tr:  82.02, Acc-val:  63.35, L-tr: 0.4945, L-val: 1.3527
INFO:root:016: Acc-tr:  84.48, Acc-val:  63.02, L-tr: 0.4342, L-val: 1.4275
INFO:root:017: Acc-tr:  90.29, Acc-val:  64.62, L-tr: 0.2776, L-val: 1.3410
INFO:root:018: Acc-tr:  85.91, Acc-val:  65.65, L-tr: 0.4043, L-val: 1.3125
INFO:root:019: Acc-tr:  88.07, Acc-val:  63.83, L-tr: 0.3345, L-val: 1.4474
INFO:root:020: Acc-tr:  87.24, Acc-val:  60.93, L-tr: 0.3673, L-val: 1.7081
INFO:root:021: Acc-tr:  84.75, Acc-val:  62.72, L-tr: 0.4475, L-val: 1.6903
INFO:root:022: Acc-tr:  84.49, Acc-val:  57.41, L-tr: 0.4684, L-val: 2.2520
INFO:root:023: Acc-tr:  91.36, Acc-val:  60.95, L-tr: 0.2382, L-val: 1.9617
INFO:root:024: Acc-tr:  94.58, Acc-val:  65.76, L-tr: 0.1574, L-val: 1.4734
INFO:root:025: Acc-tr:  93.97, Acc-val:  68.05, L-tr: 0.1687, L-val: 1.4753
INFO:root:026: Acc-tr:  92.57, Acc-val:  66.31, L-tr: 0.2121, L-val: 1.5573
INFO:root:027: Acc-tr:  90.87, Acc-val:  61.33, L-tr: 0.2529, L-val: 2.0436
INFO:root:028: Acc-tr:  92.99, Acc-val:  62.36, L-tr: 0.1955, L-val: 1.9653
INFO:root:029: Acc-tr:  82.88, Acc-val:  59.81, L-tr: 0.6497, L-val: 2.2709
INFO:root:030: Acc-tr:  95.85, Acc-val:  64.71, L-tr: 0.1171, L-val: 1.8772
INFO:root:031: Acc-tr:  99.02, Acc-val:  65.71, L-tr: 0.0343, L-val: 1.8511
INFO:root:032: Acc-tr:  99.14, Acc-val:  68.01, L-tr: 0.0302, L-val: 1.6848
INFO:root:033: Acc-tr:  99.09, Acc-val:  68.02, L-tr: 0.0308, L-val: 1.7221
INFO:root:034: Acc-tr:  98.92, Acc-val:  68.71, L-tr: 0.0348, L-val: 1.6391
INFO:root:035: Acc-tr:  98.27, Acc-val:  65.99, L-tr: 0.0522, L-val: 1.9480
INFO:root:036: Acc-tr:  96.67, Acc-val:  67.46, L-tr: 0.0964, L-val: 1.8279
INFO:root:037: Acc-tr:  96.08, Acc-val:  64.74, L-tr: 0.1126, L-val: 2.1131
INFO:root:038: Acc-tr:  94.52, Acc-val:  66.28, L-tr: 0.1596, L-val: 1.8834
