INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  35.77, Acc-val:  35.86, L-tr: 1.7428, L-val: 1.7425
INFO:root:001: Acc-tr:  40.96, Acc-val:  40.17, L-tr: 1.6029, L-val: 1.6239
INFO:root:002: Acc-tr:  43.23, Acc-val:  40.96, L-tr: 1.5960, L-val: 1.6647
INFO:root:003: Acc-tr:  45.51, Acc-val:  42.81, L-tr: 1.5031, L-val: 1.5825
INFO:root:004: Acc-tr:  47.97, Acc-val:  44.04, L-tr: 1.4453, L-val: 1.5846
INFO:root:005: Acc-tr:  50.40, Acc-val:  45.21, L-tr: 1.3665, L-val: 1.5609
INFO:root:006: Acc-tr:  52.51, Acc-val:  44.87, L-tr: 1.3322, L-val: 1.5858
INFO:root:007: Acc-tr:  59.63, Acc-val:  48.66, L-tr: 1.1231, L-val: 1.4428
INFO:root:008: Acc-tr:  59.90, Acc-val:  47.81, L-tr: 1.1031, L-val: 1.5144
INFO:root:009: Acc-tr:  61.88, Acc-val:  48.16, L-tr: 1.0612, L-val: 1.5333
INFO:root:010: Acc-tr:  64.52, Acc-val:  46.68, L-tr: 0.9862, L-val: 1.5796
INFO:root:011: Acc-tr:  65.63, Acc-val:  46.02, L-tr: 0.9580, L-val: 1.6222
INFO:root:012: Acc-tr:  64.01, Acc-val:  45.58, L-tr: 1.0073, L-val: 1.7739
INFO:root:013: Acc-tr:  67.36, Acc-val:  45.30, L-tr: 0.9115, L-val: 1.7638
INFO:root:014: Acc-tr:  68.14, Acc-val:  44.54, L-tr: 0.8765, L-val: 1.8245
INFO:root:015: Acc-tr:  72.17, Acc-val:  46.08, L-tr: 0.7832, L-val: 1.7957
INFO:root:016: Acc-tr:  74.74, Acc-val:  45.66, L-tr: 0.7077, L-val: 1.8223
INFO:root:017: Acc-tr:  75.96, Acc-val:  46.14, L-tr: 0.6696, L-val: 1.8453
INFO:root:018: Acc-tr:  74.35, Acc-val:  45.10, L-tr: 0.7113, L-val: 2.0252
INFO:root:019: Acc-tr:  76.00, Acc-val:  44.51, L-tr: 0.6766, L-val: 2.0970
INFO:root:020: Acc-tr:  80.92, Acc-val:  45.60, L-tr: 0.5350, L-val: 2.0973
INFO:root:021: Acc-tr:  77.23, Acc-val:  44.09, L-tr: 0.6450, L-val: 2.3166
INFO:root:022: Acc-tr:  79.06, Acc-val:  44.59, L-tr: 0.5953, L-val: 2.3648
INFO:root:023: Acc-tr:  76.98, Acc-val:  43.40, L-tr: 0.6519, L-val: 2.4435
INFO:root:024: Acc-tr:  83.37, Acc-val:  45.46, L-tr: 0.4736, L-val: 2.3471
INFO:root:025: Acc-tr:  87.98, Acc-val:  46.47, L-tr: 0.3378, L-val: 2.3058
INFO:root:026: Acc-tr:  83.53, Acc-val:  42.79, L-tr: 0.4653, L-val: 2.5198
INFO:root:027: Acc-tr:  87.85, Acc-val:  45.69, L-tr: 0.3348, L-val: 2.3264
INFO:root:028: Acc-tr:  89.56, Acc-val:  46.86, L-tr: 0.2937, L-val: 2.4963
INFO:root:029: Acc-tr:  87.10, Acc-val:  44.60, L-tr: 0.3654, L-val: 2.6244
INFO:root:030: Acc-tr:  93.26, Acc-val:  47.15, L-tr: 0.1932, L-val: 2.6244
INFO:root:031: Acc-tr:  91.85, Acc-val:  45.74, L-tr: 0.2268, L-val: 2.8117
INFO:root:032: Acc-tr:  92.69, Acc-val:  46.62, L-tr: 0.2082, L-val: 2.8809
INFO:root:033: Acc-tr:  91.84, Acc-val:  45.78, L-tr: 0.2308, L-val: 2.8183
INFO:root:034: Acc-tr:  90.00, Acc-val:  45.04, L-tr: 0.2840, L-val: 3.0328
INFO:root:035: Acc-tr:  93.12, Acc-val:  45.77, L-tr: 0.1953, L-val: 2.9393
INFO:root:036: Acc-tr:  91.33, Acc-val:  44.79, L-tr: 0.2435, L-val: 3.0114
INFO:root:037: Acc-tr:  92.06, Acc-val:  46.02, L-tr: 0.2207, L-val: 3.0017
INFO:root:038: Acc-tr:  95.70, Acc-val:  47.41, L-tr: 0.1253, L-val: 2.8681
INFO:root:039: Acc-tr:  93.79, Acc-val:  47.60, L-tr: 0.1764, L-val: 3.0474
INFO:root:040: Acc-tr:  97.14, Acc-val:  46.94, L-tr: 0.0859, L-val: 3.0335
INFO:root:041: Acc-tr:  99.07, Acc-val:  47.32, L-tr: 0.0357, L-val: 3.0553
INFO:root:042: Acc-tr:  99.16, Acc-val:  48.12, L-tr: 0.0319, L-val: 3.1140
INFO:root:043: Acc-tr:  99.57, Acc-val:  47.28, L-tr: 0.0201, L-val: 3.2092
INFO:root:044: Acc-tr:  99.88, Acc-val:  47.71, L-tr: 0.0088, L-val: 3.2479
INFO:root:045: Acc-tr:  99.96, Acc-val:  48.21, L-tr: 0.0052, L-val: 3.2760
INFO:root:046: Acc-tr:  99.99, Acc-val:  48.52, L-tr: 0.0029, L-val: 3.3217
INFO:root:047: Acc-tr: 100.00, Acc-val:  48.41, L-tr: 0.0017, L-val: 3.3388
