INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  48.67, Acc-val:  47.46, L-tr: 1.4012, L-val: 1.4198
INFO:root:001: Acc-tr:  60.10, Acc-val:  58.80, L-tr: 1.1293, L-val: 1.1633
INFO:root:002: Acc-tr:  66.25, Acc-val:  63.91, L-tr: 0.9391, L-val: 1.0011
INFO:root:003: Acc-tr:  70.34, Acc-val:  67.52, L-tr: 0.8207, L-val: 0.9137
INFO:root:004: Acc-tr:  71.71, Acc-val:  68.28, L-tr: 0.7890, L-val: 0.9003
INFO:root:005: Acc-tr:  78.24, Acc-val:  73.22, L-tr: 0.6142, L-val: 0.7780
INFO:root:006: Acc-tr:  79.02, Acc-val:  73.13, L-tr: 0.5975, L-val: 0.7996
INFO:root:007: Acc-tr:  81.42, Acc-val:  74.09, L-tr: 0.5223, L-val: 0.7486
INFO:root:008: Acc-tr:  81.02, Acc-val:  72.80, L-tr: 0.5282, L-val: 0.7845
INFO:root:009: Acc-tr:  81.40, Acc-val:  72.59, L-tr: 0.5256, L-val: 0.8483
INFO:root:010: Acc-tr:  86.04, Acc-val:  75.57, L-tr: 0.3808, L-val: 0.7516
INFO:root:011: Acc-tr:  87.56, Acc-val:  75.81, L-tr: 0.3538, L-val: 0.7838
INFO:root:012: Acc-tr:  88.27, Acc-val:  74.89, L-tr: 0.3211, L-val: 0.7984
INFO:root:013: Acc-tr:  89.95, Acc-val:  75.40, L-tr: 0.2855, L-val: 0.8419
INFO:root:014: Acc-tr:  85.58, Acc-val:  72.53, L-tr: 0.3909, L-val: 0.9451
INFO:root:015: Acc-tr:  92.43, Acc-val:  76.51, L-tr: 0.2134, L-val: 0.8064
INFO:root:016: Acc-tr:  91.58, Acc-val:  75.69, L-tr: 0.2357, L-val: 0.8634
INFO:root:017: Acc-tr:  89.08, Acc-val:  73.10, L-tr: 0.3050, L-val: 1.0644
INFO:root:018: Acc-tr:  94.54, Acc-val:  76.79, L-tr: 0.1557, L-val: 0.8551
INFO:root:019: Acc-tr:  91.83, Acc-val:  74.36, L-tr: 0.2267, L-val: 1.0079
INFO:root:020: Acc-tr:  94.24, Acc-val:  75.50, L-tr: 0.1599, L-val: 1.0340
INFO:root:021: Acc-tr:  96.21, Acc-val:  76.38, L-tr: 0.1070, L-val: 1.0077
INFO:root:022: Acc-tr:  95.64, Acc-val:  75.76, L-tr: 0.1243, L-val: 1.0870
INFO:root:023: Acc-tr:  94.84, Acc-val:  75.28, L-tr: 0.1493, L-val: 1.1066
INFO:root:024: Acc-tr:  95.48, Acc-val:  76.00, L-tr: 0.1325, L-val: 1.1060
INFO:root:025: Acc-tr:  95.73, Acc-val:  75.79, L-tr: 0.1198, L-val: 1.0843
INFO:root:026: Acc-tr:  96.83, Acc-val:  75.90, L-tr: 0.0875, L-val: 1.1483
INFO:root:027: Acc-tr:  96.29, Acc-val:  76.03, L-tr: 0.1053, L-val: 1.1757
INFO:root:028: Acc-tr:  96.00, Acc-val:  76.46, L-tr: 0.1179, L-val: 1.1904
INFO:root:029: Acc-tr:  97.67, Acc-val:  76.29, L-tr: 0.0686, L-val: 1.0812
INFO:root:030: Acc-tr:  98.98, Acc-val:  77.19, L-tr: 0.0349, L-val: 1.0493
INFO:root:031: Acc-tr:  99.80, Acc-val:  78.32, L-tr: 0.0102, L-val: 1.0254
INFO:root:032: Acc-tr:  99.86, Acc-val:  78.48, L-tr: 0.0080, L-val: 1.0459
INFO:root:033: Acc-tr:  99.86, Acc-val:  78.44, L-tr: 0.0087, L-val: 1.0604
INFO:root:034: Acc-tr:  99.96, Acc-val:  78.51, L-tr: 0.0041, L-val: 1.0590
INFO:root:035: Acc-tr:  99.99, Acc-val:  78.86, L-tr: 0.0020, L-val: 1.0472
INFO:root:036: Acc-tr: 100.00, Acc-val:  79.23, L-tr: 0.0013, L-val: 1.0432
INFO:root:037: Acc-tr: 100.00, Acc-val:  79.22, L-tr: 0.0010, L-val: 1.0483
INFO:root:038: Acc-tr: 100.00, Acc-val:  79.18, L-tr: 0.0005, L-val: 1.0425
INFO:root:039: Acc-tr: 100.00, Acc-val:  79.27, L-tr: 0.0005, L-val: 1.0470
